publishedAt,authorDisplayName,textDisplay,likeCount,Channel
2024-10-13T23:14:58Z,@ibnuraisfathi9258,Ridwan Kamil.yo ngopo nih ke Jakarta...wes settingan Tok isine,0,Kompas TV
2024-10-13T23:12:47Z,@ibnuraisfathi9258,"Nomer urut 2 lah dari pada yg lain, cuman boneka doang.😂",0,Kompas TV
2024-10-13T15:37:11Z,@muhammadhavisd357,Im suport no 2❤,0,Kompas TV
2024-10-13T12:52:27Z,@gunungcikuray,Cuma No.1 yang gak pake contekan,0,Kompas TV
2024-10-13T07:08:06Z,@gangsarnurrizkyaji3996,"No 2 yg paling masuk akal kl janji dan ngomong😂 yang lainnya to good to be truth. Apa lagi transportasi sungai yg tentu biaya transport nya menurut saya ga efisien krn biaya bbm kapal itu tidak murah, buat yang tau kapal kapalan pasti geleng geleng",0,Kompas TV
2024-10-13T07:04:15Z,@AgusPrayitno-e6e,Ridwan kamil manis bgt ngasih duit ngasih duit hahaha,0,Kompas TV
2024-10-13T05:02:01Z,@EdyedySusanto-z8h,Independen YESS,0,Kompas TV
2024-10-13T01:47:06Z,@ichsanhasfan1508,Sejarah ini dharma kun jd,0,Kompas TV
2024-10-12T21:46:30Z,@polcepadaleti9036,Paslon 1 terbaik,0,Kompas TV
2024-10-12T20:48:12Z,@joedoank676,02❤DK,0,Kompas TV
2024-10-12T15:32:51Z,@Physioagum,Dari jakarta di sini untuk menjadi proyeksi pemimpin indonesia nanti nya. Dukung dan pilih dharma dan kun no 2 untuk warga JKT👌🏼,0,Kompas TV
2024-10-12T10:08:14Z,@multitalentmedia52,"Dukunglah pilihan kita, ucapkanlah kelebihan2 pilihan kita, tanpa harus menjatuhkan dan menjelek2an paslon lain.",0,Kompas TV
2024-10-12T02:36:44Z,@davidnlr5126,"Pram - Rano, jelas..",0,Kompas TV
2024-10-11T18:32:46Z,@bakatakbaraku6290,Nyimak janji politik no 1 mirip dengan anis bnyak ngehayal tapi ga bener😂😂,0,Kompas TV
2024-10-11T13:35:02Z,@senjadisorehari7618,Independen 02,0,Kompas TV
2024-10-11T12:58:10Z,@addterrano,Viva republik Indonesia🇮🇩 ✌,0,Kompas TV
2024-10-11T07:06:49Z,@unknow9429,"nomer 2 gasken , ga neko neko",2,Kompas TV
2024-10-11T05:43:22Z,@fathuraljufri3589,Paslon 01 = oligarki<br>Paslon 02 = independent ✅<br>Paslon 03 = partai penguasa,1,Kompas TV
2024-10-11T05:13:35Z,@santoteguh7823,Siapapun jadi....<br>Mereka tambah kaya raya...<br>Prediksi akurat rakyat...nak😂,0,Kompas TV
2024-10-10T14:01:01Z,@brookedodson2888,Moore Richard Thompson Sarah Anderson Paul,0,Kompas TV
2024-10-10T00:40:53Z,@muhamadkosim1466,Ridwan kamil cocok,0,Kompas TV
