lemmatize_data,translate_data,sentimen
ridwan kamil ya jakarta pengaturan saja isinya,"ridwan kamil, yes, jakarta, just the content of the arrangement",Netral
nomor satu pakai catatan,number one use notes,Netral
ridwan kamil manis banget mengasih uang mengasih uang tertawa,ridwan kamil is very sweet giving money giving money laughing,Positif
pasangan calon satu terbaik,best candidate pair,Positif
menyimak janji politik nomor satu anies berkhayal,listening to political promise number one anies daydreaming,Netral
pasangan calon satu oligarki pasangan calon dua mandiri pasangan calon tiga partai penguasa,candidate pair one oligarchy candidate pair two independent candidate pair three ruling party,Netral
ridwan kamil cocok,ridwan kamil is suitable,Positif
ridwan kamil menang,ridwan kamil wins,Positif
nomor satu haus jabatan,number one thirsts for position,Netral
ridwan kamil suswono terbaik,ridwan kamil suswono the best,Positif
satu buka kertas dua coblos tiga lipat,one open paper two marks three folds,Netral
coblos nomor satu menarik mantap jakarta bersinergi mendunia tuan kamil arsitek kelas dunia,vote number one interesting steady jakarta synergizes globally mr. kamil world class architect,Positif
ridwan kamil eks gubernur jawa barat pulang pasangan pramono rano karno,"ridwan kamil, former governor of west java, returns home with pramono rano karno's partner",Netral
nomor satu terbaik,number one best,Positif
doel ridwan rusak sayangnya semangatnya rusak,doel ridwan is damaged unfortunately his spirit is damaged,Negatif
ridwan kamil cocok benahi jakarta,ridwan kamil is suitable to fix jakarta,Positif
nomor tiga pramono doel menang satu putaran,number three pramono doel wins one round,Positif
tuan kamil bahasa lugas simple,mr. kamil simple straightforward language,Positif
politisi amerika pepatah kampanye satu eksekusi the pemerintahan kemenangan the pemilihan kampanye halal sertifikat halal kementerian agama politisi indonesia dosen universitas indonesia jurusan filsafat rocky gerung mengoceh tv one acara indonesia lawyers club juta warga jakarté dungu,american politician proverb campaign one execution the government victory the election campaign halal halal certificate ministry of religion indonesian politician lecturer university of indonesia philosophy department rocky gerung rambling tv one indonesian program lawyers club million jakarta citizens stupid,Negatif
ridwan kamil jenius santri insinyur gentle menang,"ridwan kamil, a genius, a gentle engineer, wins",Positif
nomor satu,number one,Netral
satu rukun warga satu miliar satu juta menang logika rumit pilih nomor tiga,one citizen unit one billion one million wins complicated logic choose number three,Negatif
doel doel si doel si doel bodoh ridwan kamil kesepuluh gubernur doel,doel doel si doel si doel fool ridwan kamil tenth governor of doel,Netral
pilih salah satu saja pramono rano karno dharma kun,just choose one pramono rano karno dharma kun,Netral
kamil mimpi kali ya pasangan calon nomor dua menang,kamil dreams that candidate pair number two will win,Positif
gagasan visi misi bagus pasangan rido pilih nomor satu,"good vision and mission idea, rido couple choose number one",Positif
nomor urut tiga preman pasar pakaiannya cari muka model debat resmi sopan menggoda pendukung persatuan sepak bola indonesia jakarta,serial number three thugs market clothes looking for face model debate official polite teasing supporters of the indonesian football association jakarta,Netral
debat kamil paranoid dharma,kamil paranoid dharma debate,Netral
rakyat jakarta pilih ridwan kamil penghina jakarta jawa barat saja gagal total,"jakarta people choose ridwan kamil, the insulter of jakarta, west java, it's a total failure",Negatif
ayo ridwan kamil gubernur jakarta,"come on ridwan kamil, governor of jakarta",Netral
work from home mendukung nomor satu saja tertawa,work from home support number one just laugh,Positif
calon gubernur nomor urut dua kerja mengomong nya saja berbelok-belok cerdas nomor urut satu tiga,"gubernatorial candidate number two works, his speech is always convoluted, smart, number one three",Positif
ranah sejenis orang jaga badan mudanya tampan banget satu juta persen berbeda ridwan kamil pandai urus badan awet muda,"the realm of a kind of person who maintains his youthful body is very handsome, one million percent different, ridwan kamil is good at maintaining a youthful body",Positif
ridwan kamil menang,ridwan kamil wins,Positif
satu tiga calon partai politik identik perebutan kekuasaan perebutan tongkat kekuasaan terlepas jatuh dua mengambilnya mudah bawa garis menyelesaikan,one three candidates identical political parties struggle for power struggle for the baton of power slipped away fell two take it easy bring the line finish,Positif
ridwan kamil teks,ridwan kamil text,Netral
pilih satu pengalaman pimpinan daerah,select one regional leadership experience,Netral
mata nya ridwan kamil menutup kanan dibandingkan kiri beliau sakit memperhatikan debat,"ridwan kamil's eyes are closed, right compared to left, he is sick of paying attention to the debate",Negatif
alumni institut teknologi bandung fan berat anies coblos tiga pilih darmakun poin realistis sistem prioritas mengutamakan adab,"bandung institute of technology alumni are big fans of anies, vote three, choose dharmakun, realistic points, priority system prioritizes manners",Positif
ketiga calon ya nomor satu daerah khusus ibukota,the third candidate is number one for the special capital region,Positif
program-programan omong kosong badan penyelenggara jaminan sosial tenaga kerja namanya program jaminan tua program jaminan kehilangan kerja pekerja sakit klaim perusahaan menunggak bayar salah satunya perusahaan milik pendiri salah satu partai pendukung ridwan kamil nama media latar debat tertibkan program bicara program,"nonsense programs of the social security agency for workers, its name is the old age security program, the job loss security program, sick workers, claims from companies in arrears, one of which is a company owned by the founder of one of the parties supporting ridwan kamil, media name, background of the debate, organize the program, talk program",Negatif
satu terstruktur semoga rido pemimpin jakarta terpercaya bermanfaat warga jakarta,one structured hopefully the blessing of the trusted jakarta leader will be useful for jakarta residents,Positif
warga jakarta pilih nomor satu saja,jakarta residents choose number one only,Netral
dharma bagus kun grogi canggung suswono keyakinan sifat pramono lama-lama ya mahfud ganjar debat pemilihan presiden berasal partai politik ya,dharma bagus kun nervous awkward suswono confidence pramono's character it takes a long time mahfud ganjar the presidential election debate comes from political parties,Negatif
calon gubernur nomor dua unik kesempatan satu tiga layaknya politisi indonesia kemana,gubernatorial candidate number two unique opportunity one three like indonesian politicians where,Positif
ridwan suswono bagus nomor satu saja,"ridwan suswono is good, number one only",Positif
satu tiga bagus program2nya,one three good programs,Positif
fiks ridwan kamil menang,fix ridwan kamil wins,Positif
